Id,Host ID,Host ID Label,dvc,TrendMicroDsTenant,TrendMicroDsTenantId,LI Description,LI Description Label,fname,duser,shost,msg
10,685,Host ID,172.20.0.20,Primary,0,User account enabled or created,LI Description,Security, SHOAIB-SC$,ISYNCAD,WinEvtLog: Security: AUDIT_SUCCESS(4722): Microsoft-Windows-Security-Auditing: (no user): no domain: ISYNCAD.ismailindustries.com: A user account was enabled. Subject:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-1175  Account Name:  mhanif  Account Domain:  ISMAILINDUSTRIE  Logon ID:  0x42456ec9  Target Account:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-19757  Account Name:  SHOAIB-SC$  Account Domain:  ISMAILINDUSTRIE
11,685,Host ID,172.20.0.20,Primary,0,User account enabled or created,LI Description,Security, RSYED-SC$,ISYNCAD,WinEvtLog: Security: AUDIT_SUCCESS(4722): Microsoft-Windows-Security-Auditing: (no user): no domain: ISYNCAD.ismailindustries.com: A user account was enabled. Subject:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-1175  Account Name:  mhanif  Account Domain:  ISMAILINDUSTRIE  Logon ID:  0x43473187  Target Account:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-19758  Account Name:  RSYED-SC$  Account Domain:  ISMAILINDUSTRIE
12,685,Host ID,172.20.0.20,Primary,0,User account enabled or created,LI Description,Security, SCANNERACC-HO2$,ISYNCAD,WinEvtLog: Security: AUDIT_SUCCESS(4722): Microsoft-Windows-Security-Auditing: (no user): no domain: ISYNCAD.ismailindustries.com: A user account was enabled. Subject:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-1175  Account Name:  mhanif  Account Domain:  ISMAILINDUSTRIE  Logon ID:  0x528a4550  Target Account:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-19759  Account Name:  SCANNERACC-HO2$  Account Domain:  ISMAILINDUSTRIE
13,685,Host ID,172.20.0.20,Primary,0,User account enabled or created,LI Description,Security, FAISAL-SALES$,ISYNCAD,WinEvtLog: Security: AUDIT_SUCCESS(4722): Microsoft-Windows-Security-Auditing: (no user): no domain: ISYNCAD.ismailindustries.com: A user account was enabled. Subject:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-1175  Account Name:  mhanif  Account Domain:  ISMAILINDUSTRIE  Logon ID:  0x5e8f0e9f  Target Account:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-19760  Account Name:  FAISAL-SALES$  Account Domain:  ISMAILINDUSTRIE
14,685,Host ID,172.20.0.20,Primary,0,User account enabled or created,LI Description,Security, UASHRAF-ACC$,ISYNCAD,WinEvtLog: Security: AUDIT_SUCCESS(4722): Microsoft-Windows-Security-Auditing: (no user): no domain: ISYNCAD.ismailindustries.com: A user account was enabled. Subject:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-1175  Account Name:  mhanif  Account Domain:  ISMAILINDUSTRIE  Logon ID:  0x5e96b561  Target Account:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-19761  Account Name:  UASHRAF-ACC$  Account Domain:  ISMAILINDUSTRIE
15,685,Host ID,172.20.0.20,Primary,0,User account enabled or created,LI Description,Security, AZEEM-EXPORT$,ISYNCAD,WinEvtLog: Security: AUDIT_SUCCESS(4722): Microsoft-Windows-Security-Auditing: (no user): no domain: ISYNCAD.ismailindustries.com: A user account was enabled. Subject:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-1175  Account Name:  mhanif  Account Domain:  ISMAILINDUSTRIE  Logon ID:  0x636e8aba  Target Account:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-19762  Account Name:  AZEEM-EXPORT$  Account Domain:  ISMAILINDUSTRIE
16,685,Host ID,172.20.0.20,Primary,0,gabbasi login,LI Description,Application,(no user),ISYNCAD,"WinEvtLog: Application: INFORMATION(1): WinVNC4: (no user): no domain: ISYNCAD.ismailindustries.com: Connections: authenticated: 172.16.3.5::59632, as gabbasi@ismailindustries.com (Full access)"
17,685,Host ID,172.20.0.20,Primary,0,User account enabled or created,LI Description,Security, TURAB-DMS$,ISYNCAD,WinEvtLog: Security: AUDIT_SUCCESS(4722): Microsoft-Windows-Security-Auditing: (no user): no domain: ISYNCAD.ismailindustries.com: A user account was enabled. Subject:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-1175  Account Name:  mhanif  Account Domain:  ISMAILINDUSTRIE  Logon ID:  0x63eb01fc  Target Account:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-19763  Account Name:  TURAB-DMS$  Account Domain:  ISMAILINDUSTRIE
18,685,Host ID,172.20.0.20,Primary,0,User account enabled or created,LI Description,Security, thaider,ISYNCAD,WinEvtLog: Security: AUDIT_SUCCESS(4720): Microsoft-Windows-Security-Auditing: (no user): no domain: ISYNCAD.ismailindustries.com: A user account was created. Subject:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-1175  Account Name:  mhanif  Account Domain:  ISMAILINDUSTRIE  Logon ID:  0x63e8816b  New Account:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-19764  Account Name:  thaider  Account Domain:  ISMAILINDUSTRIE  Attributes:  SAM Account Name: thaider  Display Name:  Turab Haider  User Principal Name: thaider@ismailindustries.com  Home Directory:  -  Home Drive:  -  Script Path:  -  Profile Path:  -  User Workstations: -  Password Last Set: %%1794  Account Expires:  %%1794  Primary Group ID: 513  Allowed To Delegate To: -  Old UAC Value:  0x0  New UAC Value:  0x15  User Account Control:     %%2080    %%2082    %%2084  User Parameters: -  SID History:  -  Logon Hours:  %%1793  Additional Information:  Privileges  -
19,685,Host ID,172.20.0.20,Primary,0,User account enabled or created,LI Description,Security, thaider,ISYNCAD,WinEvtLog: Security: AUDIT_SUCCESS(4722): Microsoft-Windows-Security-Auditing: (no user): no domain: ISYNCAD.ismailindustries.com: A user account was enabled. Subject:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-1175  Account Name:  mhanif  Account Domain:  ISMAILINDUSTRIE  Logon ID:  0x63e8816b  Target Account:  Security ID:  S-1-5-21-1266428993-2899273040-1413466038-19764  Account Name:  thaider  Account Domain:  ISMAILINDUSTRIE
